element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
1,-202.683259,-114.691755,-149.499512,80,0,0,0.246,300
2,-155.256686,-114.691755,-149.499512,81,0,0,0.246,300
3,-107.830113,-114.691755,-149.499512,81,0,0,0.246,300
4,-60.4035395,-114.691755,-149.499512,80,0,0,0.246,300
5,-12.9769664,-114.691755,-149.499512,80,0,0,0.246,300
6,34.4496066,-114.691755,-149.499512,81,0,0,0.246,300
7,81.8761796,-114.691755,-149.499512,81,0,0,0.246,300
8,129.302752,-114.691755,-149.499512,80,0,0,0.246,300
9,-202.683259,-81.7353616,-149.499512,81,0,0,0.246,300
10,-155.256686,-81.7353616,-149.499512,81,0,0,0.246,300
11,-107.830113,-81.7353616,-149.499512,81,0.012345679,6.61233162,0.246,300
12,-60.4035395,-81.7353616,-149.499512,81,0,0,0.246,300
13,-12.9769664,-81.7353616,-149.499512,81,0,0,0.246,300
14,34.4496066,-81.7353616,-149.499512,81,0,0,0.246,300
15,81.8761796,-81.7353616,-149.499512,81,0.24691358,873.038747,0.246,300
16,129.302752,-81.7353616,-149.499512,81,0,0,0.246,300
17,-202.683259,-48.7789678,-149.499512,83,0,0,0.246,300
18,-155.256686,-48.7789678,-149.499512,78,0,0,0.246,300
19,-107.830113,-48.7789678,-149.499512,78,0,0,0.246,300
20,-60.4035395,-48.7789678,-149.499512,83,0,0,0.246,300
21,-12.9769664,-48.7789678,-149.499512,83,0.963855422,8037.56679,0.246,300
22,34.4496066,-48.7789678,-149.499512,78,0,0,0.246,300
23,81.8761796,-48.7789678,-149.499512,78,0.269230769,1005.28327,0.246,300
24,129.302752,-48.7789678,-149.499512,83,0,0,0.246,300
25,-202.683259,-15.8225739,-149.499512,82,0,0,0.246,300
26,-155.256686,-15.8225739,-149.499512,77,0,0,0.246,300
27,-107.830113,-15.8225739,-149.499512,77,0,0,0.246,300
28,-60.4035395,-15.8225739,-149.499512,82,0,0,0.246,300
29,-12.9769664,-15.8225739,-149.499512,82,0,0,0.246,300
30,34.4496066,-15.8225739,-149.499512,77,0,0,0.246,300
31,81.8761796,-15.8225739,-149.499512,77,0.103896104,212.932525,0.246,300
32,129.302752,-15.8225739,-149.499512,82,0,0,0.246,300
