element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
1,-202.683259,-114.691755,-149.499512,80,0,0,0.246,-441.003906
2,-155.256686,-114.691755,-149.499512,81,0,0,0.246,-441.003906
3,-107.830113,-114.691755,-149.499512,81,1,8534.64,0.246,-441.003906
4,-60.4035395,-114.691755,-149.499512,80,1,8534.64,0.246,-441.003906
5,-12.9769664,-114.691755,-149.499512,80,1,8534.64,0.246,-441.003906
6,34.4496066,-114.691755,-149.499512,81,1,8534.64,0.246,-441.003906
7,81.8761796,-114.691755,-149.499512,81,0,0,0.246,-441.003906
8,129.302752,-114.691755,-149.499512,80,0,0,0.246,-441.003906
9,-202.683259,-81.7353616,-149.499512,81,0,0,0.246,-441.003906
10,-155.256686,-81.7353616,-149.499512,81,0,0,0.246,-441.003906
11,-107.830113,-81.7353616,-149.499512,81,1,8534.64,0.246,-441.003906
12,-60.4035395,-81.7353616,-149.499512,81,1,8534.64,0.246,-441.003906
13,-12.9769664,-81.7353616,-149.499512,81,1,8534.64,0.246,-441.003906
14,34.4496066,-81.7353616,-149.499512,81,1,8534.64,0.246,-441.003906
15,81.8761796,-81.7353616,-149.499512,81,1,8534.64,0.246,-441.003906
16,129.302752,-81.7353616,-149.499512,81,0,0,0.246,-441.003906
17,-202.683259,-48.7789678,-149.499512,83,0,0,0.246,-441.003906
18,-155.256686,-48.7789678,-149.499512,78,1,8534.64,0.246,-441.003906
19,-107.830113,-48.7789678,-149.499512,78,1,8534.64,0.246,-441.003906
20,-60.4035395,-48.7789678,-149.499512,83,1,8534.64,0.246,-441.003906
21,-12.9769664,-48.7789678,-149.499512,83,1,8534.64,0.246,-441.003906
22,34.4496066,-48.7789678,-149.499512,78,1,8534.64,0.246,-441.003906
23,81.8761796,-48.7789678,-149.499512,78,1,8534.64,0.246,-441.003906
24,129.302752,-48.7789678,-149.499512,83,0,0,0.246,-441.003906
25,-202.683259,-15.8225739,-149.499512,82,0,0,0.246,-441.003906
26,-155.256686,-15.8225739,-149.499512,77,0.961038961,7999.31922,0.246,-441.003906
27,-107.830113,-15.8225739,-149.499512,77,1,8534.64,0.246,-441.003906
28,-60.4035395,-15.8225739,-149.499512,82,1,8534.64,0.246,-441.003906
29,-12.9769664,-15.8225739,-149.499512,82,1,8534.64,0.246,-441.003906
30,34.4496066,-15.8225739,-149.499512,77,1,8534.64,0.246,-441.003906
31,81.8761796,-15.8225739,-149.499512,77,1,8534.64,0.246,-441.003906
32,129.302752,-15.8225739,-149.499512,82,0,0,0.246,-441.003906
33,-202.683259,17.13382,-149.499512,82,0,0,0.246,-441.003906
34,-155.256686,17.13382,-149.499512,77,0,0,0.246,-441.003906
35,-107.830113,17.13382,-149.499512,77,1,8534.64,0.246,-441.003906
36,-60.4035395,17.13382,-149.499512,82,1,8534.64,0.246,-441.003906
37,-12.9769664,17.13382,-149.499512,82,1,8534.64,0.246,-441.003906
38,34.4496066,17.13382,-149.499512,77,1,8534.64,0.246,-441.003906
39,81.8761796,17.13382,-149.499512,77,0.896103896,7137.22426,0.246,-441.003906
40,129.302752,17.13382,-149.499512,82,0,0,0.246,-441.003906
41,-202.683259,50.0902138,-149.499512,83,0,0,0.246,-441.003906
42,-155.256686,50.0902138,-149.499512,78,0,0,0.246,-441.003906
43,-107.830113,50.0902138,-149.499512,78,0.333333333,1423.89368,0.246,-441.003906
44,-60.4035395,50.0902138,-149.499512,83,0,0,0.246,-441.003906
45,-12.9769664,50.0902138,-149.499512,83,0,0,0.246,-441.003906
46,34.4496066,50.0902138,-149.499512,78,0.0641025641,96.915248,0.246,-441.003906
47,81.8761796,50.0902138,-149.499512,78,0,0,0.246,-441.003906
48,129.302752,50.0902138,-149.499512,83,0,0,0.246,-441.003906
49,-202.683259,83.0466077,-149.499512,81,0,0,0.246,-441.003906
50,-155.256686,83.0466077,-149.499512,81,0,0,0.246,-441.003906
51,-107.830113,83.0466077,-149.499512,81,0,0,0.246,-441.003906
52,-60.4035395,83.0466077,-149.499512,81,0,0,0.246,-441.003906
53,-12.9769664,83.0466077,-149.499512,81,0,0,0.246,-441.003906
54,34.4496066,83.0466077,-149.499512,81,0,0,0.246,-441.003906
55,81.8761796,83.0466077,-149.499512,81,0,0,0.246,-441.003906
56,129.302752,83.0466077,-149.499512,81,0,0,0.246,-441.003906
57,-202.683259,116.003001,-149.499512,80,0,0,0.246,-441.003906
58,-155.256686,116.003001,-149.499512,81,0,0,0.246,-441.003906
