element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
1,-214.539902,-120.184488,-169.343567,81,0,0,0.246,300
2,-190.826615,-120.184488,-169.343567,81,0,0,0.246,300
3,-167.113329,-120.184488,-169.343567,83,0,0,0.246,300
4,-143.400042,-120.184488,-169.343567,86,0,0,0.246,300
5,-119.686756,-120.184488,-169.343567,86,0,0,0.246,300
6,-95.9734695,-120.184488,-169.343567,83,0,0,0.246,300
7,-72.2601828,-120.184488,-169.343567,81,0,0,0.246,300
8,-48.5468963,-120.184488,-169.343567,81,0,0,0.246,300
9,-24.8336097,-120.184488,-169.343567,81,0,0,0.246,300
10,-1.1203232,-120.184488,-169.343567,81,0,0,0.246,300
11,22.5929634,-120.184488,-169.343567,83,0,0,0.246,300
12,46.3062499,-120.184487,-169.343567,86,0,0,0.246,300
13,70.0195364,-120.184487,-169.343567,86,0,0,0.246,300
14,93.7328228,-120.184487,-169.343567,83,0,0,0.246,300
15,117.446109,-120.184487,-169.343567,81,0,0,0.246,300
16,141.159396,-120.184487,-169.343567,81,0,0,0.246,300
17,-214.539902,-98.2135585,-169.343567,81,0,0,0.246,300
18,-190.826615,-98.2135585,-169.343567,82,0,0,0.246,300
19,-167.113329,-98.2135585,-169.343567,80,0,0,0.246,300
20,-143.400042,-98.2135585,-169.343567,80,0,0,0.246,300
21,-119.686756,-98.2135585,-169.343567,80,0,0,0.246,300
22,-95.9734695,-98.2135585,-169.343567,80,0,0,0.246,300
23,-72.2601828,-98.2135585,-169.343567,82,0,0,0.246,300
24,-48.5468963,-98.2135585,-169.343567,81,0,0,0.246,300
25,-24.8336097,-98.2135585,-169.343567,81,0.641975309,4144.19399,0.246,300
26,-1.1203232,-98.2135585,-169.343567,82,0,0,0.246,300
27,22.5929634,-98.2135585,-169.343567,80,0,0,0.246,300
28,46.3062499,-98.2135584,-169.343567,80,0,0,0.246,300
29,70.0195364,-98.2135584,-169.343567,80,0,0,0.246,300
30,93.7328228,-98.2135584,-169.343567,80,0,0,0.246,300
31,117.446109,-98.2135584,-169.343567,82,0,0,0.246,300
32,141.159396,-98.2135584,-169.343567,81,0,0,0.246,300
33,-214.539902,-76.2426293,-169.343567,81,0,0,0.246,300
34,-190.826615,-76.2426293,-169.343567,82,0,0,0.246,300
35,-167.113329,-76.2426293,-169.343567,80,0,0,0.246,300
36,-143.400042,-76.2426293,-169.343567,80,0,0,0.246,300
37,-119.686756,-76.2426293,-169.343567,80,0,0,0.246,300
38,-95.9734695,-76.2426293,-169.343567,80,0,0,0.246,300
39,-72.2601828,-76.2426293,-169.343567,82,0,0,0.246,300
40,-48.5468963,-76.2426293,-169.343567,81,0,0,0.246,300
41,-24.8336097,-76.2426293,-169.343567,81,0.580246914,3514.58567,0.246,300
42,-1.1203232,-76.2426293,-169.343567,82,0,0,0.246,300
43,22.5929633,-76.2426293,-169.343567,80,0,0,0.246,300
44,46.3062499,-76.2426293,-169.343567,80,0,0,0.246,300
45,70.0195364,-76.2426293,-169.343567,80,0,0,0.246,300
46,93.7328228,-76.2426293,-169.343567,80,0,0,0.246,300
47,117.446109,-76.2426293,-169.343567,82,0,0,0.246,300
48,141.159396,-76.2426293,-169.343567,81,0,0,0.246,300
49,-214.539902,-54.2717001,-169.343567,81,0,0,0.246,300
50,-190.826615,-54.2717001,-169.343567,81,0,0,0.246,300
51,-167.113329,-54.2717001,-169.343567,83,0,0,0.246,300
52,-143.400042,-54.2717001,-169.343567,86,0,0,0.246,300
53,-119.686756,-54.2717001,-169.343567,86,0,0,0.246,300
54,-95.9734695,-54.2717001,-169.343567,83,0,0,0.246,300
55,-72.2601828,-54.2717001,-169.343567,81,0,0,0.246,300
56,-48.5468963,-54.2717001,-169.343567,81,0,0,0.246,300
57,-24.8336097,-54.2717001,-169.343567,81,0,0,0.246,300
58,-1.1203232,-54.2717001,-169.343567,81,0.271604938,1019.7732,0.246,300
59,22.5929633,-54.2717001,-169.343567,83,0,0,0.246,300
60,46.3062499,-54.2717001,-169.343567,86,0,0,0.246,300
61,70.0195364,-54.2717001,-169.343567,86,0,0,0.246,300
62,93.7328228,-54.2717001,-169.343567,83,0,0,0.246,300
63,117.446109,-54.2717001,-169.343567,81,0,0,0.246,300
64,141.159396,-54.2717001,-169.343567,81,0,0,0.246,300
65,-214.539902,-32.3007709,-169.343567,81,0,0,0.246,300
66,-190.826615,-32.3007709,-169.343567,81,0,0,0.246,300
67,-167.113329,-32.3007709,-169.343567,83,0,0,0.246,300
68,-143.400042,-32.3007709,-169.343567,86,0,0,0.246,300
69,-119.686756,-32.3007709,-169.343567,86,0,0,0.246,300
70,-95.9734695,-32.3007709,-169.343567,83,0,0,0.246,300
71,-72.2601828,-32.3007709,-169.343567,81,0,0,0.246,300
72,-48.5468963,-32.3007709,-169.343567,81,0.222222222,735.273323,0.246,300
73,-24.8336098,-32.3007709,-169.343567,81,0.654320988,4274.8836,0.246,300
74,-1.1203232,-32.3007709,-169.343567,81,0.172839506,488.138794,0.246,300
75,22.5929633,-32.3007709,-169.343567,83,0,0,0.246,300
76,46.3062499,-32.3007709,-169.343567,86,0,0,0.246,300
77,70.0195364,-32.3007709,-169.343567,86,0,0,0.246,300
78,93.7328228,-32.3007709,-169.343567,83,0,0,0.246,300
79,117.446109,-32.3007708,-169.343567,81,0,0,0.246,300
80,141.159396,-32.3007708,-169.343567,81,0,0,0.246,300
81,-214.539902,-10.3298416,-169.343567,81,0,0,0.246,300
82,-190.826615,-10.3298416,-169.343567,82,0,0,0.246,300
83,-167.113329,-10.3298416,-169.343567,80,0,0,0.246,300
84,-143.400042,-10.3298416,-169.343567,80,0,0,0.246,300
85,-119.686756,-10.3298416,-169.343567,80,0,0,0.246,300
86,-95.9734695,-10.3298416,-169.343567,80,0,0,0.246,300
87,-72.2601828,-10.3298416,-169.343567,82,0,0,0.246,300
88,-48.5468963,-10.3298416,-169.343567,81,0,0,0.246,300
89,-24.8336098,-10.3298416,-169.343567,81,0,0,0.246,300
90,-1.1203232,-10.3298416,-169.343567,82,0,0,0.246,300
91,22.5929633,-10.3298416,-169.343567,80,0,0,0.246,300
92,46.3062499,-10.3298416,-169.343567,80,0,0,0.246,300
93,70.0195364,-10.3298416,-169.343567,80,0,0,0.246,300
94,93.7328228,-10.3298416,-169.343567,80,0,0,0.246,300
95,117.446109,-10.3298416,-169.343567,82,0,0,0.246,300
96,141.159396,-10.3298416,-169.343567,81,0,0,0.246,300
97,-214.539902,11.6410877,-169.343567,81,0,0,0.246,300
98,-190.826615,11.6410877,-169.343567,82,0,0,0.246,300
99,-167.113329,11.6410877,-169.343567,80,0,0,0.246,300
100,-143.400042,11.6410877,-169.343567,80,0,0,0.246,300
101,-119.686756,11.6410877,-169.343567,80,0,0,0.246,300
102,-95.9734695,11.6410877,-169.343567,80,0,0,0.246,300
103,-72.2601828,11.6410877,-169.343567,82,0,0,0.246,300
104,-48.5468963,11.6410877,-169.343567,81,0,0,0.246,300
105,-24.8336098,11.6410877,-169.343567,81,0,0,0.246,300
106,-1.1203232,11.6410877,-169.343567,82,0,0,0.246,300
107,22.5929633,11.6410877,-169.343567,80,0,0,0.246,300
108,46.3062499,11.6410877,-169.343567,80,0,0,0.246,300
109,70.0195364,11.6410877,-169.343567,80,0,0,0.246,300
110,93.7328228,11.6410877,-169.343567,80,0,0,0.246,300
111,117.446109,11.6410877,-169.343567,82,0,0,0.246,300
112,141.159396,11.6410877,-169.343567,81,0,0,0.246,300
113,-214.539902,33.6120169,-169.343567,81,0,0,0.246,300
114,-190.826615,33.6120169,-169.343567,81,0,0,0.246,300
115,-167.113329,33.6120169,-169.343567,83,0,0,0.246,300
116,-143.400042,33.6120169,-169.343567,86,0,0,0.246,300
117,-119.686756,33.6120169,-169.343567,86,0.453488372,2351.73315,0.246,300
118,-95.9734696,33.6120169,-169.343567,83,0.939759036,7712.62327,0.246,300
119,-72.2601829,33.6120169,-169.343567,81,0,0,0.246,300
120,-48.5468963,33.6120169,-169.343567,81,0,0,0.246,300
121,-24.8336098,33.6120169,-169.343567,81,0,0,0.246,300
122,-1.1203232,33.6120169,-169.343567,81,0,0,0.246,300
123,22.5929633,33.6120169,-169.343567,83,0,0,0.246,300
124,46.3062499,33.6120169,-169.343567,86,0,0,0.246,300
125,70.0195364,33.6120169,-169.343567,86,0,0,0.246,300
126,93.7328228,33.6120169,-169.343567,83,0.0240963855,19.6682993,0.246,300
127,117.446109,33.6120169,-169.343567,81,0,0,0.246,300
128,141.159396,33.6120169,-169.343567,81,0,0,0.246,300
129,-214.539902,55.5829461,-169.343567,81,0,0,0.246,300
130,-190.826616,55.5829461,-169.343567,81,0,0,0.246,300
131,-167.113329,55.5829461,-169.343567,83,0,0,0.246,300
132,-143.400042,55.5829461,-169.343567,86,0,0,0.246,300
133,-119.686756,55.5829461,-169.343567,86,0,0,0.246,300
134,-95.9734696,55.5829461,-169.343567,83,0,0,0.246,300
135,-72.2601829,55.5829461,-169.343567,81,0,0,0.246,300
136,-48.5468963,55.5829461,-169.343567,81,0,0,0.246,300
137,-24.8336098,55.5829461,-169.343567,81,0,0,0.246,300
138,-1.1203232,55.5829461,-169.343567,81,0,0,0.246,300
139,22.5929633,55.5829461,-169.343567,83,0.0120481928,6.35459558,0.246,300
140,46.3062499,55.5829461,-169.343567,86,0,0,0.246,300
141,70.0195364,55.5829461,-169.343567,86,0,0,0.246,300
142,93.7328228,55.5829461,-169.343567,83,0,0,0.246,300
143,117.446109,55.5829461,-169.343567,81,0,0,0.246,300
144,141.159396,55.5829461,-169.343567,81,0,0,0.246,300
145,-214.539902,77.5538753,-169.343567,81,0,0,0.246,300
146,-190.826616,77.5538753,-169.343567,82,0,0,0.246,300
147,-167.113329,77.5538753,-169.343567,80,0,0,0.246,300
148,-143.400042,77.5538753,-169.343567,80,0,0,0.246,300
149,-119.686756,77.5538753,-169.343567,80,0,0,0.246,300
150,-95.9734696,77.5538753,-169.343567,80,0,0,0.246,300
151,-72.2601829,77.5538753,-169.343567,82,0,0,0.246,300
152,-48.5468963,77.5538753,-169.343567,81,0,0,0.246,300
153,-24.8336098,77.5538753,-169.343567,81,0,0,0.246,300
154,-1.1203232,77.5538753,-169.343567,82,0,0,0.246,300
155,22.5929633,77.5538753,-169.343567,80,0,0,0.246,300
156,46.3062499,77.5538753,-169.343567,80,0,0,0.246,300
157,70.0195364,77.5538753,-169.343567,80,0,0,0.246,300
158,93.7328228,77.5538753,-169.343567,80,0,0,0.246,300
159,117.446109,77.5538753,-169.343567,82,0,0,0.246,300
160,141.159396,77.5538753,-169.343567,81,0,0,0.246,300
161,-214.539902,99.5248045,-169.343567,81,0,0,0.246,300
162,-190.826616,99.5248045,-169.343567,82,0,0,0.246,300
163,-167.113329,99.5248045,-169.343567,80,0,0,0.246,300
164,-143.400042,99.5248045,-169.343567,80,0,0,0.246,300
165,-119.686756,99.5248045,-169.343567,80,0,0,0.246,300
166,-95.9734696,99.5248045,-169.343567,80,0,0,0.246,300
167,-72.2601829,99.5248045,-169.343567,82,0,0,0.246,300
168,-48.5468963,99.5248045,-169.343567,81,0,0,0.246,300
169,-24.8336098,99.5248045,-169.343567,81,0,0,0.246,300
170,-1.1203232,99.5248045,-169.343567,82,0,0,0.246,300
171,22.5929633,99.5248045,-169.343567,80,0,0,0.246,300
172,46.3062499,99.5248045,-169.343567,80,0,0,0.246,300
173,70.0195364,99.5248045,-169.343567,80,0,0,0.246,300
174,93.7328228,99.5248045,-169.343567,80,0,0,0.246,300
175,117.446109,99.5248045,-169.343567,82,0,0,0.246,300
176,141.159396,99.5248045,-169.343567,81,0,0,0.246,300
177,-214.539902,121.495733,-169.343567,81,0,0,0.246,300
178,-190.826616,121.495733,-169.343567,81,0,0,0.246,300
179,-167.113329,121.495733,-169.343567,83,0,0,0.246,300
